# Generated by https://github.com/badele/world-datas-analysis
# Version: 1.0
# Query: SELECT category, description, first_year, last_year, printf("%.5f", first_value) as first_value, printf("%.5f", last_value) as last_value, printf("%.5f", growth_percent) as growth_percent FROM v_worldbank_country_summary WHERE CountryCode='FRA';
# Source: https://data.worldbank.org/
# columns: [[0, 34], [35, 179], [180, 191], [192, 202], [203, 222], [223, 242], [243, 258]]

# category=Agriculture et développement rural
                          category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
                          Pauvreté                                                                                                                                      Indice GINI        1978       2018            35.20000            32.40000       -7.95455
                          Pauvreté                                                     Ratio de la population pauvre en fonction du seuil de pauvreté national (% de la population)        2003       2018            13.50000            13.60000        0.74074
                          Pauvreté                         Consommation moyenne ou revenu moyen par habitant, 40 % les plus pauvres de la population (en USD par jour, PPA de 2011)        2013       2018            26.90000            28.23000        4.94424
                          Pauvreté                                     Taux de croissance moyen annualisé du niveau de vie par habitant, 40 % les plus pauvres de la population (%)        2018       2018             0.97000             0.97000        0.00000
                          Pauvreté                                              Consommation moyenne ou revenu moyen par habitant, population totale (en USD par jour, PPA de 2011)        2013       2018            51.99000            54.02000        3.90460
                          Pauvreté                                                          Taux de croissance moyen annualisé du niveau de vie par habitant, population totale (%)        2018       2018             0.77000             0.77000        0.00000


# category=Santé
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
                             Santé                                                                        Prévalence de l’anémie chez les enfants (% des enfants de moins de 5 ans)        2000       2019            10.90000            14.70000       34.86239
                             Santé                 Cause de décès, par maladies transmissibles et pathologies associées à la grossesse, l’accouchement et la nutrition (% du total)        2000       2019             6.59757             6.36803       -3.47918
                             Santé                                                                                       Cause de décès, par accidents et traumatismes (% du total)        2000       2019             7.94080             6.35587      -19.95938
                             Santé                                                                                     Cause de décès, par maladies non transmissibles (% du total)        2000       2019            85.46163            87.27610        2.12315
                             Santé                                                                                         Taux de mortalité infantile, moins de 5 ans (pour 1 000)        1960       2019            28.50000             4.50000      -84.21053
                             Santé                                                                                     Taux de mortalité néonatale (pour 1 000 naissances vivantes)        1960       2019            18.50000             2.70000      -85.40541
                             Santé                                                                                            Immunisation, DTP, (% d’enfants âgés de 12 à 23 mois)        1980       2019            79.00000            96.00000       21.51899
                             Santé                                                                                        Immunisation, rougeole (% d’enfants âgés de 12 à 23 mois)        1983       2019            15.00000            90.00000      500.00000
                             Santé                                                                                                            Lits d’hôpital (pour 1 000 personnes)        1974       2018            10.50000             5.91000      -43.71429
                             Santé                                                                                             Personnel chirurgical spécialisé (pour 100 000 hab.)        2013       2015            54.72000            58.63000        7.14547
                             Santé                                        Risque de de dépenses catastrophiques en cas de recours nécessaire à la chirurgie (% de la pop. à risque)        2003       2020             0.00000             0.00000        0.00000
                             Santé                                        Risque de de dépenses appauvrissantes en cas de recours nécessaire à la chirurgie (% de la pop. à risque)        2003       2020             0.00000             0.00000        0.00000
                             Santé                                                                                                Femmes enceintes recevant des soins prénataux (%)        1993       2004            99.00000            99.80000        0.80808
                             Santé                                                                             Naissances assistées par du personnel de santé qualifié (% du total)        1993       2018            99.00000            98.10000       -0.90909
                             Santé                                                                                   Prévalence du diabète (% de la population âgée de 20 à 79 ans)        2010       2019             6.70000             4.80000      -28.35821
                             Santé                                                                Ratio de décès maternel (estimation par modèle, pour 100 000 naissances vivantes)        2000       2017            10.00000             8.00000      -20.00000
                             Santé                                                                                           Mortalité par accident de la route (pour 100 000 hab.)        2000       2019            13.40000             5.10000      -61.94030
                             Santé                                                                                             Incidence de la tuberculose (pour 100 000 personnes)        2000       2019            13.00000             8.70000      -33.07692
                             Santé                                                                                                                                  Migration nette        1962       2017       1417869.00000        182636.00000      -87.11898
                             Santé                                                                                       Population de réfugiées par pays ou par territoire d’asile        1960       2020        245935.00000        436100.00000       77.32328
                             Santé                                                                                         Population de réfugiées par pays ou territoire d’origine        1994       2020            20.00000            49.00000      145.00000
                             Santé                                                                                                           Stock international de migrants, total        1960       2015       3507213.00000       7784418.00000      121.95453
                             Santé                                                                                          Prévalence de la sous-alimentation (% de la population)        2001       2019             2.50000             2.50000        0.00000
                             Santé                                               Taux de fertilité chez les adolescents (nombre de naissance par 1 000 femmes âgées de 15 à 19 ans)        1960       2019            24.91700             4.74540      -80.95517
                             Santé                                                                                                   Taux de naissance, brut (pour 1 000 personnes)        1960       2019            18.70000            11.20000      -40.10695
                             Santé                                                                                                   Taux de mortalité, brut (pour 1 000 personnes)        1960       2019            11.40000             9.10000      -20.17544
                             Santé                                                                               Prévalence de la contraception (% des femmes âgées de 15 à 49 ans)        1971       2011            64.00000            78.40000       22.50000
                             Santé                                                                                     Taux de mortalité infantile (pour 1 000 naissances vivantes)        1960       2019            23.70000             3.80000      -83.96624
                             Santé                                                                                                 Espérance de vie à la naissance, femmes (années)        1960       2019            73.30000            85.60000       16.78035
                             Santé                                                                                                  Espérance de vie à la naissance, total (années)        1960       2019            69.86829            82.57805       18.19102
                             Santé                                                                                                 Espérance de vie à la naissance, hommes (années)        1960       2019            66.60000            79.70000       19.66967
                             Santé                                                                                                  Taux de fertilité, total (naissances par femme)        1960       2019             2.85000             1.87000      -34.38596
                             Santé                                                                                                       Population âgée de 0 à 14 ans (% du total)        1960       2020            26.36128            17.65366      -33.03187
                             Santé                                                                                                      Population âgée de 15 à 64 ans (% du total)        1960       2020            61.98765            61.59289       -0.63684
                             Santé                                                                                                       Population âgée de 65 et plus (% du total)        1960       2020            11.65107            20.75346       78.12486
                             Santé                                                 Ratio de la population inactive à la population active (% de la population en âge de travailler)        1960       2020            61.32246            62.35641        1.68609
                             Santé                                                                                                           Croissance de la population (% annuel)        1961       2020             1.31863             0.21191      -83.92977
                             Santé                                                                                                                                Population, total        1960       2020      46621688.00000      67391582.00000       44.54985
                             Santé                                                                                                                  Population, femmes (% du total)        1960       2020            51.49323            51.60488        0.21683
                             Santé                                                                                              Exhaustivité de l’enregistrement des naissances (%)        2011       2017           100.00000           100.00000        0.00000
                             Santé                                                                                                 Actes de décès mentionnant la cause du décès (%)        1992       2015           100.00000           100.00000        0.00000
                             Santé                                                                       Besoins en contraception sans réponse (% de femmes mariées de 15 à 49 ans)        1994       2005             7.40000             1.70000      -77.02703


# category=Science et technologie
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
            Science et technologie                                                            Commissions pour usage de la propriété intellectuelle, paiements (BDP, $ US courants)        1975       2020     515801619.69576   12423182137.75660     2308.51941
            Science et technologie                                                             Commissions pour usage de la propriété intellectuelle, rentrées (BDP, $ US courants)        1975       2020     192154613.47843   14660286102.19020     7529.42187
            Science et technologie                                                                                                Dépenses en recherche et développement (% du PIB)        1996       2018             2.22280             2.20002       -1.02483
            Science et technologie                                                                                                 Articles de journaux scientifiques et techniques        2000       2018         49691.91000         66352.18000       33.52713
            Science et technologie                                                                                                                Demandes de brevet, non résidents        1980       2019         16989.00000          1766.00000      -89.60504
            Science et technologie                                                                                                                    Demandes de brevet, résidents        1980       2019         11000.00000         14103.00000       28.20909
            Science et technologie                                                                                           Demandes de marques de commerce, non résidents directs        1980       2019          8149.00000          7413.00000       -9.03178
            Science et technologie                                                                                               Demandes de marques de commerce, résidents directs        1980       2019         36581.00000         95100.00000      159.97102
            Science et technologie                                                                          Chercheurs en recherche et développement (pour un million de personnes)        1996       2018          2668.87618          4715.31913       76.67808
            Science et technologie                                                                                                       Techniciens (pour un million de personnes)        2004       2017          1753.19275          1805.54395        2.98605
            Science et technologie                                                                                                Exportations de haute technologie ($ US courants)        2007       2020   86673912452.00000   87649838585.00000        1.12597
            Science et technologie                                                                     Exportations de haute technologie (% des exportations de biens manufacturés)        2007       2019            20.31105            26.99241       32.89520


# category=Secteur financier
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
                 Secteur financier                                                                           Investissements étrangers directs, entrées nettes (BDP, $ US courants)        1970       2019     621212781.70170   51038713850.74140     8115.97935
                 Secteur financier                                                                               Transferts personnels et rémunération des employés ($ US courants)        1975       2020     627961975.10000   24481658775.62510     3798.58936
                 Secteur financier                                                                                                    Indice boursier S&P (% de variation annuelle)        1990       2020           -14.84552            -7.13693       51.92536
                 Secteur financier                                                                       Capitalisation boursière des entreprises intérieures cotées (USD courants)        1975       2018   35299950000.00000 2365950236659.35900     6602.41810
                 Secteur financier                                                                           Capitalisation boursière des entreprises intérieures cotées (% du PIB)        1975       2018             9.78293            84.90752      767.91529
                 Secteur financier                                                                                                  Entreprises intérieures cotées en bourse, total        1975       2018           724.00000           457.00000      -36.87845
                 Secteur financier                                                                                                     Actions transigées, valeur totale (% du PIB)        1975       2015             1.56444            54.48117     3382.47889
                 Secteur financier                                                                                           Taux de rotation des actions négociées intérieures (%)        1975       2015            15.99150            63.60930      297.76955
                 Secteur financier                                                                                    Prêts non productifs par rapport au total des prêts bruts (%)        2008       2020             2.81942             2.70534       -4.04627
                 Secteur financier                                                                                      Guichets automatiques bancaires (GAB) (par 100 000 adultes)        2004       2020            85.60761            93.52277        9.24587
                 Secteur financier                                                                                                              Ratio capital/actif des banques (%)        2008       2020             3.72770             6.18106       65.81428
                 Secteur financier                                                                                        Succursales bancaires commerciales (pour 100 000 adultes)        2004       2020            21.58000            33.20000       53.84615
                 Secteur financier                                                                                                Total des réserves (comprend l’or, $ US courants)        1960       2020    2300194000.00000  224236417867.71100     9648.58720
                 Secteur financier                                                                                                     Inflation, prix à la consommation (% annuel)        1960       2020             4.13994             0.47650      -88.49019
                 Secteur financier                                                                                                                    Taux d’intérêt des dépôts (%)        1966       2017             3.00000             0.79167      -73.61111
                 Secteur financier                                                                                              Crédit intérieur fourni au secteur privé (% du PIB)        2001       2020            76.97940           123.73333       60.73563
                 Secteur financier                                                               Indice sur la profondeur de l’information relative au crédit (0=faible et 8=élevé)        2013       2019             6.00000             6.00000        0.00000
                 Secteur financier                                                                           Indice de la solidité des garanties juridiques (0=faible et 12=solide)        2013       2019             4.00000             4.00000        0.00000
                 Secteur financier                                                            Taux de change officiel (unités de devises locales par $ US, moyenne pour la période)        1960       1998             4.93706             5.89952       19.49451
                 Secteur financier                                                                                                                                  Migration nette        1962       2017       1417869.00000        182636.00000      -87.11898
                 Secteur financier                                                                                                           Stock international de migrants, total        1960       2015       3507213.00000       7784418.00000      121.95453


# category=Secteur privé
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
                     Secteur privé                                                                                              Crédit intérieur fourni au secteur privé (% du PIB)        2001       2020            76.97940           123.73333       60.73563
                     Secteur privé                                    Indice de l’étendue de la divulgation des entreprises (0=le moins de divulgation à 10=le plus de divulgation)        2005       2019             8.00000             8.00000        0.00000
                     Secteur privé                                              Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)        2019       2019            32.00000            32.00000        0.00000
                     Secteur privé                                                                                                      Nouvelles entreprises enregistrées (nombre)        2006       2018        136033.00000        201087.00000       47.82222
                     Secteur privé                                                               Indice sur la profondeur de l’information relative au crédit (0=faible et 8=élevé)        2013       2019             6.00000             6.00000        0.00000
                     Secteur privé                                                                                        Délai nécessaire pour obtenir de l’électricité (en jours)        2009       2019            71.00000            53.00000      -25.35211
                     Secteur privé                                                                           Indice de la solidité des garanties juridiques (0=faible et 12=solide)        2013       2019             4.00000             4.00000        0.00000
                     Secteur privé                                                                                            Temps nécessaire pour démarrer une entreprise (jours)        2003       2019            41.00000             4.00000      -90.24390
                     Secteur privé                                                                                  Temps nécessaire pour constituer une entreprise, femmes (jours)        2003       2019            41.00000             4.00000      -90.24390
                     Secteur privé                                                                                  Temps nécessaire pour constituer une entreprise, hommes (jours)        2003       2019            41.00000             4.00000      -90.24390
                     Secteur privé                                                                                 Procédures de démarrage pour enregistrer une entreprise (nombre)        2003       2019             8.00000             5.00000      -37.50000
                     Secteur privé                                                                                     Procédures de constitution d’une entreprise, femmes (nombre)        2003       2019             8.00000             5.00000      -37.50000
                     Secteur privé                                                                                     Procédures de constitution d’une entreprise, hommes (nombre)        2003       2019             8.00000             5.00000      -37.50000
                     Secteur privé                                                                                            Taux d'imposition total (% des bénéfices commerciaux)        2005       2019            68.30000            60.70000      -11.12738
                     Secteur privé                                                                                                    Délai avant l’exportation, cas médian (jours)        2007       2018             3.20000             2.00000      -37.50000
                     Secteur privé               la logistique du commerce et l’économie mondiale, l’indice de la performance de la logistique et son rapport sur les indicateurs).        2007       2018             4.50000             3.00000      -33.33333
                     Secteur privé                                                                    Indice de performance logistique : performance globale (1=faible et 5=élevée)        2007       2018             3.76000             3.84000        2.12766
                     Secteur privé                                                                                    Tourisme international, rentrées (% des exportations totales)        1995       2019             8.62794             7.96819       -7.64670
                     Secteur privé                                                                                    Tourisme international, dépenses (% des importations totales)        1995       2019             6.20202             6.60330        6.47001
                     Secteur privé                                                                                                              Commerce de marchandises (% du PIB)        1960       2020            21.12961            41.13308       94.67036
                     Secteur privé                                                                                                     Importations de marchandises ($ US courants)        1960       2020    6282000000.00000  582351000000.00000     9170.15282
                     Secteur privé                                                                                  Indice des termes de l’échange des marchandises nets (2000=100)        2000       2019           100.00000            88.56118      -11.43882
                     Secteur privé                                                                                            Medium and high-tech exports (% manufactured exports)        1990       2018            59.38240            65.87868       10.93975
                     Secteur privé                                                                                         Exportations de carburant (% des marchandises exportées)        1962       2019             3.77615             2.77534      -26.50360
                     Secteur privé                                                                             Exportations de minerais et de métaux (% des marchandises exportées)        1962       2019             4.76234             2.01519      -57.68496
                     Secteur privé                                                                                                     Exportations de marchandises ($ US courants)        1960       2020    6866000000.00000  488345000000.00000     7012.51092
                     Secteur privé                                                                                                Exportations de haute technologie ($ US courants)        2007       2020   86673912452.00000   87649838585.00000        1.12597
                     Secteur privé                                                                     Exportations de haute technologie (% des exportations de biens manufacturés)        2007       2019            20.31105            26.99241       32.89520


# category=Secteur public
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
                    Secteur public                                                                                                 Acquisition nette d’actifs financiers (% du PIB)        1972       1994             0.00000            -1.46910        0.00000
                    Secteur public                                                                                                         Accumulation nette de passifs (% du PIB)        1972       1994             0.14613             4.22125     2788.70429
                    Secteur public                                                                                     Investissement net dans les actifs non financiers (% du PIB)        1972       2016             1.11058             1.54722       39.31640
                    Secteur public                                                                                                Capacité (+)/besoin (-) de financement (% du PIB)        1972       2019             1.40284            -2.97163     -311.82903
                    Secteur public                                                                                                             Revenus, hors subventions (% du PIB)        1972       2019            32.19718            43.46150       34.98542
                    Secteur public                                                                                                                       Revenus fiscaux (% du PIB)        1972       2019            18.67534            24.67321       32.11653
                    Secteur public                                                                                                                              Dépenses (% du PIB)        1972       2019            30.00524            46.48923       54.93705
                    Secteur public                                                                           Indice de la solidité des garanties juridiques (0=faible et 12=solide)        2013       2019             4.00000             4.00000        0.00000
                    Secteur public                                                                                            Taux d'imposition total (% des bénéfices commerciaux)        2005       2019            68.30000            60.70000      -11.12738
                    Secteur public                                                                                                                   Dépenses militaires (% du PIB)        1960       2020             5.42849             2.07332      -61.80664
                    Secteur public                                                                                     Dépenses militaires (% des dépenses du gouvernement central)        1988       2020             5.87778             3.28631      -44.08930
                    Secteur public                                                                    Proportion de sièges occupés par des femmes dans les parlements nationaux (%)        1997       2020            10.91854            39.51473      261.90476
                    Secteur public                                                                                                 Homicides intentionnels (pour 100 000 personnes)        1990       2018             2.39117             1.19864      -49.87235


# category=Échanges commerciaux
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
              Échanges commerciaux                                                                                    Importations d’énergie, nettes (% de l’utilisation d’énergie)        1960       2015            42.82320            44.11017        3.00530
              Échanges commerciaux                                                                                                    Délai avant l’exportation, cas médian (jours)        2007       2018             3.20000             2.00000      -37.50000
              Échanges commerciaux               la logistique du commerce et l’économie mondiale, l’indice de la performance de la logistique et son rapport sur les indicateurs).        2007       2018             4.50000             3.00000      -33.33333
              Échanges commerciaux                                                                    Indice de performance logistique : performance globale (1=faible et 5=élevée)        2007       2018             3.76000             3.84000        2.12766
              Échanges commerciaux                                                                                                  Exportations de biens et de services (% du PIB)        1960       2020            14.81402            28.04348       89.30358
              Échanges commerciaux                                                                                                  Importations de biens et de services (% du PIB)        1960       2020            12.37989            30.25810      144.41320
              Échanges commerciaux                                                                                    Tourisme international, rentrées (% des exportations totales)        1995       2019             8.62794             7.96819       -7.64670
              Échanges commerciaux                                                                                    Tourisme international, dépenses (% des importations totales)        1995       2019             6.20202             6.60330        6.47001
              Échanges commerciaux                                                                                                              Commerce de marchandises (% du PIB)        1960       2020            21.12961            41.13308       94.67036
              Échanges commerciaux                                                                                                     Importations de marchandises ($ US courants)        1960       2020    6282000000.00000  582351000000.00000     9170.15282
              Échanges commerciaux                                                                                  Indice des termes de l’échange des marchandises nets (2000=100)        2000       2019           100.00000            88.56118      -11.43882
              Échanges commerciaux                                                                                            Medium and high-tech exports (% manufactured exports)        1990       2018            59.38240            65.87868       10.93975
              Échanges commerciaux                                                                                         Exportations de carburant (% des marchandises exportées)        1962       2019             3.77615             2.77534      -26.50360
              Échanges commerciaux                                                                             Exportations de minerais et de métaux (% des marchandises exportées)        1962       2019             4.76234             2.01519      -57.68496
              Échanges commerciaux                                                                                                     Exportations de marchandises ($ US courants)        1960       2020    6866000000.00000  488345000000.00000     7012.51092
              Échanges commerciaux                                                                                                Exportations de haute technologie ($ US courants)        2007       2020   86673912452.00000   87649838585.00000        1.12597
              Échanges commerciaux                                                                     Exportations de haute technologie (% des exportations de biens manufacturés)        2007       2019            20.31105            26.99241       32.89520


# category=Économie et croissance
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
            Économie et croissance                                                            Commissions pour usage de la propriété intellectuelle, paiements (BDP, $ US courants)        1975       2020     515801619.69576   12423182137.75660     2308.51941
            Économie et croissance                                                                                              Balance des paiements courants (BDP, $ US courants)        1975       2020    2740359182.39273  -48911340953.41870    -1884.85146
            Économie et croissance                                                             Commissions pour usage de la propriété intellectuelle, rentrées (BDP, $ US courants)        1975       2020     192154613.47843   14660286102.19020     7529.42187
            Économie et croissance                                                                           Investissements étrangers directs, entrées nettes (BDP, $ US courants)        1970       2019     621212781.70170   51038713850.74140     8115.97935
            Économie et croissance                                                                               Transferts personnels et rémunération des employés ($ US courants)        1975       2020     627961975.10000   24481658775.62510     3798.58936
            Économie et croissance                                                                                                Total des réserves (comprend l’or, $ US courants)        1960       2020    2300194000.00000  224236417867.71100     9648.58720
            Économie et croissance                                                                                                     Inflation, prix à la consommation (% annuel)        1960       2020             4.13994             0.47650      -88.49019
            Économie et croissance                                                                                                             Revenus, hors subventions (% du PIB)        1972       2019            32.19718            43.46150       34.98542
            Économie et croissance                                                                                                                              Dépenses (% du PIB)        1972       2019            30.00524            46.48923       54.93705
            Économie et croissance                                                                                                  Exportations de biens et de services (% du PIB)        1960       2020            14.81402            28.04348       89.30358
            Économie et croissance                                                                                                            Formation brute de capital (% du PIB)        1960       2020            25.57757            24.05760       -5.94259
            Économie et croissance                                                                                                  Importations de biens et de services (% du PIB)        1960       2020            12.37989            30.25810      144.41320
            Économie et croissance                                                                                                           Agriculture, valeur ajoutée (% du PIB)        1960       2020            10.53722             1.71917      -83.68477
            Économie et croissance                                                                                                             Industrie, valeur ajoutée (% du PIB)        1960       2020            30.27501            16.29415      -46.17955
            Économie et croissance                                                             Medium and high-tech Industry (including construction) (% manufacturing value added)        1990       2018            52.54645            49.47042       -5.85393
            Économie et croissance                                               Épargne nette rajustée, en incluant les dommages causés par les émissions de particules (% du RNB)        1990       2019            11.59660             9.16180      -20.99575
            Économie et croissance                                                                                                           Inflation, déflateur du PIB (% annuel)        1961       2020             3.27178             2.24702      -31.32121
            Économie et croissance                                                                                                                              PIB ($ US courants)        1960       2020   62225478000.88220 2603004395901.95000     4083.18104
            Économie et croissance                                                                                                                     Croissance du PIB (% annuel)        1961       2020             4.98011            -8.11491     -262.94628
            Économie et croissance                                                                                                                 PIB par habitant ($ US courants)        1960       2020          1334.68951         38625.06738     2793.93653
            Économie et croissance                                                                                                        Croissance du PIB par habitant (% annuel)        1961       2020             3.60490            -8.30941     -330.50318
            Économie et croissance                                                                                                PIB par habitant, ($ PPA internationaux courants)        1990       2020         17608.91323         46226.95054      162.52018
            Économie et croissance                                                                                                               RNB, méthode Atlas ($ US courants)        1962       2019   74257719231.57300 2844112376775.79900     3730.05620
            Économie et croissance                                                                                                     RNB en PPA (dollars internationaux courants)        1990       2019 1029037912906.69900 3389392645158.45900      229.37490
            Économie et croissance                                                                                                  RNB par habitant, méthode Atlas ($ US courants)        1962       2019          1550.00000         42290.00000     2628.38710
            Économie et croissance                                                                                                RNB par habitant, ($ PPA internationaux courants)        1990       2019         17670.00000         50400.00000      185.22920
            Économie et croissance                                                                                                                         Épargne brute (% du PIB)        1975       2019            25.39724            23.39520       -7.88289
            Économie et croissance                                                                   Facteur de conversion PPA, PIB (unités de devises locales par $ international)        1990       2020             1.02738             0.73153      -28.79643
            Économie et croissance                                                                                  Ration facteur de conversion PPA (PIB)/taux de change du marché        1990       2020             1.23766             0.83555      -32.48926


# category=Éducation
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
                         Éducation                                                                                            Ratio filles/garçons des inscriptions au primaire (%)        1971       2018             0.99329             0.99458        0.12987
                         Éducation                                                                           Ratio filles/garçons des inscriptions au primaire et au secondaire (%)        1971       2018             1.03422             1.00052       -3.25849
                         Éducation                                                                                                    Inscriptions à l’école, préscolaire, (% brut)        1971       2018            85.99623           106.15910       23.44623
                         Éducation                                                                      Taux d’achèvement de l’école primaire, filles (% du groupe d’âge pertinent)        1971       1972            95.32172            94.77932       -0.56902
                         Éducation                                                                     Taux d’achèvement de l’école primaire, garçons (% du groupe d’âge pertinent)        1971       1972            91.18639            90.41227       -0.84895
                         Éducation                                                                       Taux d’achèvement de l’école primaire, total (% du groupe d’âge pertinent)        1971       2000            93.21495            92.93037       -0.30530
                         Éducation                                                                                                               Ratio élève-enseignant au primaire        1975       2013            22.52035            18.17660      -19.28811
                         Éducation                                                                                                        Inscriptions à l’école, primaire (% brut)        1971       2018           116.27664           102.87400      -11.52651
                         Éducation                                                                              Taux d’inscription brut au CP, filles (% du groupe d’âge pertinent)        1971       1972           104.80119           103.11563       -1.60834
                         Éducation                                                                             Taux d’inscription brut au CP, garçons (% du groupe d’âge pertinent)        1971       1972           104.68590           103.01955       -1.59176
                         Éducation                                                                                                         Inscriptions à l’école, primaire (% net)        1971       2017            97.34870            98.92727        1.62156
                         Éducation                                                                     Poursuite des études jusqu’à la fin du cycle primaire, filles (% de cohorte)        1971       1971            89.06148            89.06148        0.00000
                         Éducation                                                                    Poursuite des études jusqu’à la fin du cycle primaire, garçons (% de cohorte)        1971       1971            84.83317            84.83317        0.00000
                         Éducation                                                                                     Redoublants, primaire, filles (% des inscriptions de filles)        1971       1972            12.03329            11.08120       -7.91213
                         Éducation                                                                                   Redoublants, primaire, garçons (% des inscriptions de garçons)        1971       1972            14.27809            13.30692       -6.80182
                         Éducation                                                                                                  Enfants n’allant pas à l’école primaire, filles        1971       2016         45850.00000           523.00000      -98.85932
                         Éducation                                                                                                 Enfants n’allant pas à l’école primaire, garçons        1971       2016         66783.00000          6482.00000      -90.29394
                         Éducation                                                                                                      Inscriptions à l’école, secondaire (% brut)        1971       2018            74.23161           104.13856       40.28869
                         Éducation                                                                                                       Inscriptions à l’école, secondaire (% net)        1976       2017            76.25555            94.66595       24.14303
                         Éducation                                                                                          Inscriptions à l’école, enseignement supérieur (% brut)        1971       2018            18.55906            67.62466      264.37546
                         Éducation                                                                                           Dépenses par élève du primaire (% du PIB par habitant)        1999       2016            17.48975            17.36470       -0.71499
                         Éducation                                                                                         Dépenses par élève du secondaire (% du PIB par habitant)        1999       2016            28.82910            26.28009       -8.84180
                         Éducation                                                                           Dépenses par élève de l’enseignement supérieur (% du PIB par habitant)        1999       2016            29.99279            31.62493        5.44177
                         Éducation                                                                          Dépenses publiques en éducation, total (% des dépenses du gouvernement)        1981       2017            11.50818             9.67858      -15.89825
                         Éducation                                                                                                       Dépenses publiques en éducation (% du PIB)        1970       2017             3.42974             5.45160       58.95083
                         Éducation                                                                                            Population active, femmes (% de la population active)        1990       2019            43.31538            48.08575       11.01311
                         Éducation                                                                                                                         Population active, total        1990       2020      25839723.00000      30033626.00000       16.23045
                         Éducation                                                                  Chômage, femmes (% de la population active féminine) (estimation modélisée OIT)        1991       2019            11.64000             8.38000      -28.00687
                         Éducation                                                                 Chômage, hommes (% de la population active masculine) (estimation modélisée OIT)        1991       2019             7.18000             8.50000       18.38440
                         Éducation                                                                                   Chômage, total (% de la population) (estimation modélisée OIT)        1991       2020             9.13000             8.62000       -5.58598
                         Éducation                                                                                                       Population âgée de 0 à 14 ans (% du total)        1960       2020            26.36128            17.65366      -33.03187
                         Éducation                                                                                                      Population âgée de 15 à 64 ans (% du total)        1960       2020            61.98765            61.59289       -0.63684


# category=Énergie et mines
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
                  Énergie et mines                                                                                               Intensité énergétique (MJ/PIB en USD, PPA de 2011)        1990       2015             5.44753             4.10185      -24.70254
                  Énergie et mines                                                                                                       Accès à l’électricité (% de la population)        1990       2019           100.00000           100.00000        0.00000
                  Énergie et mines                                                                  Production d’électricité renouvelable (% de la production totale d’électricité)        1990       2015            13.36988            15.85767       18.60741
                  Énergie et mines                                                                    Consommation d’énergies renouvelables (% de la consommation totale d’énergie)        1990       2018            10.40802            15.25260       46.54661
                  Énergie et mines                                                           PIB par unité d’énergie utilisée ($ PPA constants de 2011 par kg d’équivalent pétrole)        1990       2015             8.76925            11.74041       33.88154
                  Énergie et mines                                                                                    Importations d’énergie, nettes (% de l’utilisation d’énergie)        1960       2015            42.82320            44.11017        3.00530
                  Énergie et mines                                                                           Énergie alternative et nucléaire (% de l’utilisation totale d’énergie)        1960       2015             4.48655            49.06154      993.52554
                  Énergie et mines                                                                                                 Consommation de carburants fossiles (% du total)        1960       2015            95.52018            46.48797      -51.33178
                  Énergie et mines                                                                                                    Consommation d’électricité (KWh par habitant)        1960       2014          1462.70980          6939.94352      374.45799
                  Énergie et mines                                                                                     Utilisation d’énergie (kg d’équivalent pétrole par habitant)        1960       2015          1699.25087          3692.01783      117.27326
                  Énergie et mines                                                                                        Délai nécessaire pour obtenir de l’électricité (en jours)        2009       2019            71.00000            53.00000      -25.35211
                  Énergie et mines                                                                                   Total des bénéfices tirés des ressources naturelles (% du PIB)        1970       2019             0.15698             0.03515      -77.61031
                  Énergie et mines                                                                                         Exportations de carburant (% des marchandises exportées)        1962       2019             3.77615             2.77534      -26.50360
                  Énergie et mines                                                                             Exportations de minerais et de métaux (% des marchandises exportées)        1962       2019             4.76234             2.01519      -57.68496
